1;1
3;2
7;1
8;2
10;1
11;2
13;1
14;2
18;1
20;1
21;1
25;2
27;2
34;2
37;1
40;2
41;2
42;2
48;2
49;1
52;1
53;2
55;2
60;2
61;2
63;1
65;1
67;1
83;1
84;1
85;1
86;2
91;1
94;1
95;1
104;2
108;1
110;2
111;2
112;1
114;2
115;1
118;1
120;1
123;2
124;2
126;1
127;2
129;2
130;1
131;1
132;2
134;2
137;2
138;1
139;1
140;2
141;2
143;1
146;2
152;2
154;1
160;1
161;2
163;1
167;2
170;1
175;1
176;2
178;2
179;2
180;1
182;1
183;2
184;2
186;1
188;2
192;1
196;2
197;2
202;2
203;1
204;1
205;2
206;2
210;2
212;2
214;1
219;2
220;2
221;2
225;1
226;2
228;1
231;1
235;2
237;1
239;2
240;1
244;2
249;1
251;2
256;1
258;2
259;1
261;2
264;2
267;1
272;1
275;1
277;1
278;1
282;1
283;1
284;1
285;2
287;2
288;1
290;2
291;2
297;1
298;2
299;1
304;2
305;1
313;1
314;2
315;2
322;2
327;1
328;2
331;2
340;1
342;2
343;2
345;1
347;1
350;2
352;2
357;1
360;2
362;1
363;1
366;2
367;1
368;1
369;2
371;2
373;2
374;1
375;1
381;1
382;2
384;1
385;2
389;2
391;1
393;1
394;2
398;1
401;1
402;2
406;1
407;2
408;1
415;1
416;1
417;2
428;2
434;1
435;2
438;1
439;2
440;2
446;1
451;2
456;1
459;1
461;1
463;2
465;2
469;1
473;2
474;2
476;2
477;1
478;1
480;1
481;1
483;1
485;1
486;2
487;1
488;2
489;1
491;1
493;1
494;1
495;2
496;2
497;1
500;1
502;1
503;1
506;1
507;2
508;2
510;2
512;1
516;2
517;2
518;2
520;2
523;1
526;1
528;1
534;1
537;1
538;1
542;1
543;1
546;1
547;1
551;2
554;1
555;1
559;1
561;1
562;2
567;2
570;2
572;2
575;1
576;2
579;1
580;1
583;2
585;1
587;1
591;1
593;1
596;2
597;1
598;1
599;2
600;1
601;1
602;2
606;1
607;2
608;1
609;2
610;1
617;1
621;1
622;2
623;1
629;1
631;2
633;2
635;1
639;1
641;1
642;1
644;2
647;1
650;1
651;1
652;2
655;1
656;1
657;2
659;2
660;2
661;2
664;1
667;1
669;1
670;1
671;1
672;2
675;1
676;1
677;1
678;1
680;2
686;1
687;2
688;1
690;1
693;2
697;2
701;1
702;1
708;2
713;2
714;1
716;2
717;1
720;2
721;1
723;2
724;1
727;1
729;1
732;2
735;1
737;1
741;1
749;1
751;1
753;1
755;1
759;1
760;1
761;1
763;1
764;2
765;1
766;1
770;1
771;1
774;2
776;2
780;2
782;1
784;1
786;1
788;1
789;1
794;1
799;1
803;1
806;1
808;1
811;2
812;2
813;1
814;1
817;1
821;1
824;1
831;1
836;1
841;2
843;1
845;2
848;2
853;1
855;1
856;1
857;2
860;1
861;1
862;1
863;1
872;1
874;2
876;1
879;1
882;1
883;1
891;1
892;1
893;2
898;1
899;1
900;1
902;1
903;1
907;1
908;2
912;2
914;2
915;2
917;1
923;1
925;1
926;1
927;2
928;2
929;1
933;1
934;1
937;2
939;2
943;2
944;1
952;2
953;1
955;1
958;1
961;2
963;1
966;1
973;1
977;2
981;1
983;2
990;2
993;2
994;1
995;2
996;1
999;1
1000;2
1001;2
1002;2
1003;1
1005;2
1007;2
1010;1
1012;1
1013;1
1015;1
1019;1
1024;1
1027;2
1028;1
1029;1
1030;1
1032;1
1034;2
1035;2
1036;1
1038;2
1041;1
1042;2
1043;1
1045;1
1046;2
1047;1
1051;1
1052;1
1054;1
1056;2
1061;1
1064;1
1065;1
1066;1
1069;2
1072;2
1074;1
1076;2
1080;2
1082;2
1088;1
1090;1
1092;1
1094;1
1095;1
1100;1
1101;2
1102;1
1103;2
1107;2
1112;1
1114;1
1120;1
1123;1
1127;1
1129;1
1130;1
1139;2
1140;2
1142;1
1144;1
1146;2
1147;1
1149;1
1151;1
1153;2
1154;1
1155;2
1158;2
1161;2
1162;1
1163;1
1166;1
1168;1
1169;1
1174;1
1176;2
1177;1
1179;1
1181;1
1182;1
1183;2
1192;2
1193;1
1195;1
1197;1
